# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
402.7284804; -50.6146619; -37.7096782; -0.2002111; 0.0569110; 12.1428730; 1.3524956
404.7221858; -50.3220238; -35.7341165; -0.0970750; 0.0473625; 12.3629414; 3.0029204
406.7158911; -50.2141718; -33.7330720; -0.0169179; 0.0300071; 12.8380761; 3.7634824
408.7095965; -50.2269408; -31.7385984; 0.0235764; 0.0131434; 13.4098004; 4.3962566
410.7033018; -50.2985452; -29.7417964; 0.0472084; 0.0104295; 14.0482180; 5.1283665
412.6970072; -50.4107470; -27.7513655; 0.0636134; 0.0051914; 14.7580938; 5.4056942
414.6907125; -50.5425789; -25.7704065; 0.0668567; -0.0023973; 15.4711362; 3.9821956
416.6844179; -50.6641780; -23.7799289; 0.0516902; -0.0128617; 15.9760666; -0.3778179
418.6781232; -50.7348102; -21.7919208; 0.0160968; -0.0226841; 15.9288477; -2.6641439
420.6718286; -50.7161932; -19.8046075; -0.0371155; -0.0283995; 15.5918297; -3.7532221
422.6655339; -50.5894823; -17.8179932; -0.0884179; -0.0228326; 15.1042879; -2.9918900
424.6592392; -50.3702264; -15.8465130; -0.1345861; -0.0261255; 14.7040682; -2.6831697
426.6529446; -50.0421363; -13.8544563; -0.1941448; -0.0327065; 14.3356451; -2.4982397
428.6466499; -49.5846531; -11.8990314; -0.2692336; -0.0440097; 13.9838912; -2.5443754
430.6403553; -48.9479654; -9.9787945; -0.3759344; -0.0587492; 13.6163043; -2.5872374
432.6340606; -48.1188518; -8.2055373; -0.5027651; -0.0690262; 13.2320582; -2.7014811
434.6277660; -47.0532544; -6.5318464; -0.6243775; -0.0486903; 12.8185588; -1.3263472
436.6214713; -45.8147035; -4.9692891; -0.7161948; -0.0465177; 12.6105813; 0.0258559
438.6151767; -44.4479129; -3.5428472; -0.8147985; -0.0535999; 12.6146683; 0.3854493
440.6088820; -42.9499037; -2.2728884; -0.9219946; -0.0581586; 12.6754409; 0.6016661
442.6025874; -41.2835120; -1.1583658; -1.0401083; -0.0562757; 12.7697256; 1.4623777
444.5962927; -39.5043978; -0.2396421; -1.1465247; -0.0513544; 12.9960376; 2.3257126
446.5899981; -37.6530595; 0.4901698; -1.2405317; -0.0420427; 13.3480547; 2.5574486
448.5837034; -35.7248773; 1.0666596; -1.3177247; -0.0349428; 13.7247281; 2.5482486
450.5774088; -33.7768025; 1.5027487; -1.3816137; -0.0295110; 14.0900346; 2.7745598
452.5711141; -31.7999351; 1.8237708; -1.4364891; -0.0249668; 14.4773058; 2.9701768
454.5648195; -29.8291849; 2.0440441; -1.4806903; -0.0197640; 14.8807157; 3.5281178
456.5585248; -27.8353614; 2.1848140; -1.5197276; -0.0191554; 15.3461316; 3.8797805
458.5522302; -25.8461465; 2.2495031; -1.5560093; -0.0166625; 15.8421600; 4.2444367
460.5459355; -23.8554076; 2.2484021; -1.5854364; -0.0128859; 16.3676005; 4.7112670
462.5396409; -21.8604318; 2.1951498; -1.6087118; -0.0104171; 16.9317483; 4.9377642
464.5333462; -19.8700768; 2.1005964; -1.6270926; -0.0082313; 17.5035138; 5.1715178
466.5270516; -17.8814406; 1.9733423; -1.6417101; -0.0064342; 18.0829743; 5.3310899
468.5207569; -15.8931916; 1.8200318; -1.6534262; -0.0053189; 18.6614899; 5.4377254
470.5144623; -13.9075916; 1.6456821; -1.6630591; -0.0045014; 19.2336593; 5.5374004
472.5081676; -11.9232126; 1.4534312; -1.6715251; -0.0039906; 19.7993318; 5.4697645
474.5018730; -9.9408729; 1.2451999; -1.6793389; -0.0038482; 20.3426581; 5.4985967
476.4955783; -7.9601140; 1.0217678; -1.6868487; -0.0036740; 20.8745994; 5.5196133
478.4892837; -5.9798697; 0.7836959; -1.6939750; -0.0034676; 21.3952767; 5.4306898
480.4829890; -4.0032212; 0.5324147; -1.7003244; -0.0029061; 21.8954848; 2.7190193
482.4766944; -2.0271177; 0.2695961; -1.7054631; -0.0021550; 22.1416825; 8.1883867
484.4703997; -0.0505951; -0.0019009; -1.7088343; -0.0012269; 22.8671066; 5.3652608
